Property_ID,District,Building_Type,Gross_Area_m2,Rooms,Bathrooms,Building_Age,Floor,Total_Floors,Heating_Type,Furnished_Status,Parking_Spaces,Balconies,In_Residential_Complex,View_Type,Distance_to_Center_km,Distance_to_Transit_km,Elevator,Security,Price_TL
HP-00540,Besiktas,Apartment,363.5,9,3,6,12,17,Natural_Gas,Furnished,1,2,No,Street,8.60,0.32,No,No,36703131.08
HP-00541,Kadikoy,Apartment,170.6,6,3,0,6,14,Central,Furnished,0,1,Yes,Street,1.44,2.20,Yes,No,16396933.83
HP-00542,Sisli,Apartment,63.8,2,1,12,4,7,Natural_Gas,Unfurnished,1,1,No,Nature,3.50,0.43,No,No,4699847.36
HP-00543,Karsiyaka,Apartment,142.7,4,2,0,14,16,Coal,Semi_Furnished,1,1,Yes,Street,5.85,0.68,Yes,No,10126965.59
HP-00544,Karsiyaka,Residence,188.1,5,2,13,5,11,Central,Semi_Furnished,1,1,No,Park,6.05,2.29,No,Yes,10773094.71
HP-00545,Cankaya,Residence,76.3,2,1,2,12,17,Natural_Gas,Unfurnished,1,1,No,City,3.21,0.17,Yes,No,4422511.58
HP-00546,Uskudar,Villa,134.1,4,1,28,,8,Coal,Unfurnished,1,2,No,City,9.25,1.03,Yes,No,8793436.30
HP-00547,Kadikoy,Townhouse,153.5,4,1,9,16,21,Natural_Gas,Furnished,1,,No,Street,0.97,2.04,Yes,No,11610909.08
HP-00548,Sisli,Residence,226.1,7,3,14,2,8,Central,Furnished,0,4,No,Street,7.48,2.11,Yes,Yes,49670211.50
HP-00549,Cankaya,Apartment,166.8,5,2,24,0,13,Central,Unfurnished,0,1,Yes,Sea,14.97,0.87,Yes,Yes,10442161.91
HP-00550,Nilufer,Apartment,35.0,1,1,16,22,28,Heat_Pump,Semi_Furnished,2,1,No,Street,8.60,0.74,Yes,No,1053416.92
HP-00551,Besiktas,Apartment,253.0,7,2,2,17,21,Natural_Gas,Unfurnished,1,4,Yes,Street,5.61,0.78,No,No,31127052.39
HP-00552,Konyaalti,Townhouse,169.5,4,2,1,12,25,Natural_Gas,Unfurnished,2,1,No,City,7.93,0.58,Yes,No,11315960.96
HP-00553,Atasehir,Residence,106.0,3,1,6,3,14,Heat_Pump,Semi_Furnished,2,3,Yes,City,0.25,0.36,No,No,9686985.53
HP-00554,Kadikoy,Residence,105.9,3,1,8,2,6,Natural_Gas,Semi_Furnished,1,1,No,City,4.56,1.91,Yes,Yes,7263931.22
HP-00555,Sisli,Townhouse,268.5,8,3,9,6,9,Heat_Pump,Unfurnished,0,1,Yes,City,4.16,0.99,Yes,No,24057892.08
HP-00556,Uskudar,Apartment,168.0,5,2,16,24,26,Natural_Gas,Unfurnished,0,0,No,Street,4.56,0.77,No,No,9078994.22
HP-00557,Sisli,Townhouse,178.6,6,2,5,22,30,Natural_Gas,Semi_Furnished,1,1,Yes,Street,2.67,0.36,Yes,Yes,12344061.52
HP-00558,Atasehir,Residence,95.9,3,1,3,16,26,Natural_Gas,Semi_Furnished,0,1,Yes,Street,,2.42,No,No,6895091.16
HP-00559,Sisli,Townhouse,168.1,5,2,5,20,29,Central,Unfurnished,1,1,No,City,7.69,1.12,No,Yes,12618970.68
HP-00560,Atasehir,Apartment,175.4,4,1,23,18,28,Natural_Gas,Unfurnished,1,0,No,Nature,1.00,0.85,Yes,No,12123686.65
HP-00561,Uskudar,Residence,207.9,5,2,40,15,23,Central,Unfurnished,0,1,No,Park,5.44,2.02,Yes,No,12815847.97
HP-00562,Sisli,Apartment,48.8,2,1,,24,32,Heat_Pump,Unfurnished,1,1,No,Street,2.61,2.60,No,No,2767036.15
HP-00563,Beylikduzu,Apartment,121.6,3,1,33,20,22,Natural_Gas,Unfurnished,1,1,Yes,Street,2.16,2.33,Yes,Yes,3384110.91
HP-00564,Beylikduzu,Apartment,125.6,3,1,5,5,8,Electric,Unfurnished,2,1,No,Street,3.67,1.15,No,Yes,4018464.89
HP-00565,Besiktas,Apartment,128.1,4,2,28,17,19,Central,Semi_Furnished,2,1,Yes,City,1.95,0.78,Yes,Yes,9778597.13
HP-00566,Beylikduzu,Apartment,53.0,2,1,,5,7,Central,Unfurnished,1,2,No,Park,1.12,1.12,Yes,No,1932980.06
HP-00567,Uskudar,Apartment,67.5,2,1,,8,10,Natural_Gas,Semi_Furnished,1,2,No,Nature,4.55,0.36,No,No,4337160.68
HP-00568,Konyaalti,Apartment,166.0,4,1,10,9,22,Natural_Gas,Furnished,1,2,No,Park,6.01,0.87,Yes,No,7417226.33
HP-00569,Kadikoy,Residence,144.2,4,1,33,5,18,Central,Unfurnished,2,4,No,Street,,1.24,Yes,Yes,9013979.07
HP-00570,Konyaalti,Apartment,87.8,2,1,24,9,20,Heat_Pump,Semi_Furnished,1,2,Yes,Park,12.05,0.21,No,No,4694195.26
HP-00571,Nilufer,Apartment,155.5,4,1,1,4,7,Natural_Gas,Furnished,2,1,Yes,Park,6.51,1.35,Yes,No,7764075.73
HP-00572,Sisli,Apartment,137.3,5,2,34,25,27,Natural_Gas,Furnished,0,1,No,City,0.61,3.48,Yes,Yes,7122259.99
HP-00573,Cankaya,Villa,223.6,8,2,6,0,4,Natural_Gas,Unfurnished,1,3,No,City,3.37,0.44,Yes,No,18792929.72
HP-00574,Konyaalti,Apartment,188.6,5,2,4,11,24,Natural_Gas,Semi_Furnished,1,1,Yes,Street,,0.86,No,Yes,13511335.18
HP-00575,Uskudar,Residence,101.2,2,1,31,5,8,Natural_Gas,Unfurnished,3,1,No,Street,1.95,2.05,Yes,No,5979017.79
HP-00576,Besiktas,Apartment,113.1,3,1,25,23,28,Heat_Pump,Semi_Furnished,1,1,No,City,7.68,0.89,No,No,8948525.54
HP-00577,Cankaya,Apartment,191.3,5,2,0,3,10,Central,Furnished,2,2,No,Park,11.65,,No,No,37707391.53
HP-00578,Karsiyaka,Residence,74.0,2,1,22,7,15,Natural_Gas,Unfurnished,1,2,No,Street,3.09,1.43,No,No,3675538.15
HP-00579,Karsiyaka,Apartment,157.7,5,2,10,21,23,Natural_Gas,Unfurnished,1,2,Yes,Sea,6.98,1.13,No,No,11008615.34
HP-00580,Karsiyaka,Residence,,2,1,24,9,22,Heat_Pump,Semi_Furnished,1,2,Yes,Nature,5.45,2.98,Yes,No,3935007.52
HP-00581,Besiktas,Apartment,90.3,2,1,8,24,33,Central,Furnished,2,4,Yes,Street,8.38,0.48,Yes,No,8426099.35
HP-00582,Kadikoy,Apartment,113.8,3,1,16,9,21,Electric,Furnished,1,4,Yes,Nature,4.72,0.71,Yes,No,9158625.97
HP-00583,Sisli,Apartment,87.4,3,,12,11,19,Natural_Gas,Semi_Furnished,0,1,No,City,2.61,1.07,No,No,5366133.61
HP-00584,Atasehir,Residence,113.3,3,1,4,8,15,Central,Unfurnished,1,1,Yes,City,10.29,1.12,Yes,Yes,8947605.89
HP-00585,Uskudar,Apartment,155.1,5,2,4,17,23,Natural_Gas,Semi_Furnished,1,1,No,Street,5.81,1.08,No,Yes,8973884.12
HP-00586,Besiktas,Apartment,104.3,4,1,1,12,19,Heat_Pump,Unfurnished,1,4,Yes,Park,11.00,0.59,Yes,No,12371538.34
HP-00587,Kadikoy,Apartment,40.3,1,1,36,13,19,Natural_Gas,Furnished,1,1,No,Park,15.57,0.17,Yes,Yes,2162700.98
HP-00588,Beylikduzu,Townhouse,211.4,5,2,0,20,24,Natural_Gas,Unfurnished,3,0,No,Street,9.55,0.76,No,Yes,7404823.35
HP-00589,Karsiyaka,Detached,124.2,3,1,9,0,7,Natural_Gas,Furnished,1,1,No,Park,3.98,,Yes,No,7074215.96
HP-00590,Kadikoy,Villa,189.5,5,2,14,0,13,Central,Unfurnished,2,0,No,Sea,0.77,0.52,Yes,No,26114704.84
HP-00591,Besiktas,Apartment,87.8,2,1,75,2,14,Heat_Pump,Unfurnished,1,2,Yes,Street,5.33,0.58,Yes,Yes,4764292.59
HP-00592,Cankaya,Detached,,5,2,4,0,6,Natural_Gas,Unfurnished,2,0,No,Park,5.61,4.49,No,Yes,10909955.91
HP-00593,Uskudar,Apartment,48.0,2,1,33,1,11,Heat_Pump,Furnished,1,1,No,Street,13.30,0.23,No,Yes,2336175.07
HP-00594,Nilufer,Villa,203.3,7,3,47,0,8,Central,Unfurnished,0,1,Yes,Street,3.74,1.51,Yes,No,41401577.97
HP-00595,Uskudar,Apartment,67.5,2,1,0,,36,Natural_Gas,Unfurnished,1,0,No,City,7.63,0.61,Yes,No,4905044.46
HP-00596,Nilufer,Apartment,215.8,7,3,11,0,12,Central,Semi_Furnished,1,2,No,City,13.94,1.35,Yes,Yes,7023993.33
HP-00597,Besiktas,Apartment,120.1,3,1,0,20,30,Natural_Gas,Unfurnished,0,0,No,Street,1.07,1.94,No,Yes,10439754.87
HP-00598,Uskudar,Villa,157.7,4,1,58,0,9,Electric,Semi_Furnished,1,0,Yes,City,2.18,2.55,Yes,Yes,10893480.76
HP-00599,Atasehir,Residence,187.1,5,2,53,15,24,Natural_Gas,Unfurnished,0,3,No,Street,7.79,2.63,Yes,Yes,8188260.21
HP-00600,Karsiyaka,Apartment,93.2,2,1,12,25,31,Central,Unfurnished,3,1,No,City,3.51,0.31,No,No,5320799.34
HP-00601,Beylikduzu,Apartment,115.0,3,1,13,7,15,Heat_Pump,Semi_Furnished,1,2,No,City,4.09,0.38,Yes,Yes,3635253.28
HP-00602,Beylikduzu,Apartment,107.0,2,1,12,21,25,Natural_Gas,Semi_Furnished,1,0,No,Park,9.25,0.37,Yes,No,3302174.10
HP-00603,Cankaya,Detached,142.1,5,2,21,0,12,Electric,Furnished,1,2,Yes,Street,3.63,0.51,No,Yes,7243398.35
HP-00604,Nilufer,Apartment,66.6,2,1,8,28,33,Natural_Gas,Semi_Furnished,1,1,Yes,Street,9.03,0.41,No,No,2583814.42
HP-00605,Atasehir,Apartment,131.2,3,1,10,2,9,Natural_Gas,Semi_Furnished,2,0,Yes,Street,4.88,1.63,Yes,No,7928079.40
HP-00606,Karsiyaka,Apartment,178.7,6,2,16,19,23,Central,Semi_Furnished,2,3,No,City,22.09,0.43,Yes,Yes,7213245.15
HP-00607,Sisli,Residence,55.0,1,1,9,11,23,Central,Unfurnished,2,2,Yes,Nature,4.67,0.69,Yes,Yes,4963569.21
HP-00608,Beylikduzu,Detached,104.8,3,1,1,0,3,Natural_Gas,Unfurnished,1,1,Yes,Street,6.01,0.71,Yes,Yes,4800565.31
HP-00609,Besiktas,Apartment,117.0,3,1,7,20,32,Natural_Gas,Furnished,1,0,Yes,Street,7.21,0.64,Yes,Yes,40052126.77
HP-00610,Beylikduzu,Apartment,112.0,3,1,,3,5,Central,Unfurnished,3,1,No,Park,2.03,0.75,Yes,No,4062708.11
HP-00611,Uskudar,Residence,152.2,4,2,13,24,34,Natural_Gas,Unfurnished,0,3,Yes,Street,2.33,1.57,Yes,No,9966181.71
HP-00612,Atasehir,Apartment,63.7,2,1,6,19,23,Natural_Gas,Unfurnished,1,1,Yes,Nature,10.81,1.43,Yes,No,3392385.51
HP-00613,Kadikoy,Apartment,172.7,5,2,8,,32,Natural_Gas,Unfurnished,1,2,No,Street,8.20,0.34,No,Yes,14713212.54
HP-00614,Besiktas,Townhouse,155.0,4,1,42,24,33,Natural_Gas,Furnished,1,2,No,Street,3.11,1.18,Yes,No,12315814.73
HP-00615,Uskudar,Villa,177.4,5,2,,0,12,Natural_Gas,Semi_Furnished,3,2,No,City,13.18,1.04,Yes,Yes,15609098.28
HP-00616,Besiktas,Detached,134.8,5,2,24,0,5,Heat_Pump,Unfurnished,1,1,Yes,Sea,,0.55,Yes,No,16501733.01
HP-00617,Konyaalti,Apartment,135.2,3,1,6,8,16,Natural_Gas,Semi_Furnished,0,1,No,City,2.29,1.07,No,No,6944520.83
HP-00618,Cankaya,Apartment,68.3,2,1,0,14,27,Natural_Gas,Unfurnished,0,2,No,Park,1.79,,Yes,Yes,3423193.45
HP-00619,Uskudar,Villa,169.2,6,2,,0,9,Central,Furnished,1,,Yes,Park,5.31,1.89,Yes,No,19897241.83
HP-00620,Karsiyaka,Apartment,189.4,5,2,10,11,22,,Semi_Furnished,1,1,No,Park,7.88,0.98,Yes,Yes,11218096.03
HP-00621,Konyaalti,Detached,203.0,7,3,14,0,3,Central,Unfurnished,1,1,No,Nature,2.87,0.58,Yes,No,11476293.20
HP-00622,Konyaalti,Apartment,52.7,2,1,16,1,10,Natural_Gas,Unfurnished,0,2,No,Park,7.07,2.63,Yes,No,2120902.24
HP-00623,Uskudar,Apartment,101.7,3,1,41,2,12,Natural_Gas,Unfurnished,2,1,Yes,Sea,4.80,2.42,Yes,Yes,7807336.95
HP-00624,Nilufer,Apartment,115.5,3,1,33,11,16,Central,Furnished,2,2,Yes,Street,0.93,1.58,Yes,No,4321296.05
HP-00625,Kadikoy,Residence,156.1,5,2,2,27,36,Natural_Gas,Unfurnished,1,1,No,Nature,5.72,1.83,Yes,No,16343463.02
HP-00626,Besiktas,Detached,160.0,4,2,15,0,4,Coal,Semi_Furnished,1,1,No,Street,3.52,0.89,Yes,Yes,14705356.33
HP-00627,Cankaya,Villa,156.2,4,1,29,0,2,Central,Unfurnished,1,2,No,City,6.40,0.65,Yes,No,9533732.31
HP-00628,Konyaalti,Townhouse,182.8,6,2,0,10,14,Natural_Gas,Unfurnished,1,1,Yes,City,1.22,3.32,No,Yes,14006345.59
HP-00629,Konyaalti,Apartment,86.7,2,1,12,24,26,Central,Unfurnished,1,1,Yes,Park,1.05,0.54,No,No,5635174.13
HP-00630,Besiktas,Residence,118.8,4,2,7,22,32,Natural_Gas,Furnished,1,2,No,Nature,5.46,2.52,Yes,No,10619058.79
HP-00631,Konyaalti,Apartment,187.0,5,2,12,8,14,Natural_Gas,Furnished,1,1,Yes,Street,3.58,0.51,Yes,Yes,9837961.46
HP-00632,Nilufer,Apartment,169.2,5,2,1,1,10,Central,Unfurnished,1,4,Yes,Street,7.02,0.21,Yes,Yes,8686938.39
HP-00633,Besiktas,Apartment,202.7,7,3,31,22,28,Central,Unfurnished,0,2,Yes,Nature,9.45,0.79,Yes,Yes,17028279.75
HP-00634,Cankaya,Apartment,39.1,1,1,75,19,29,Heat_Pump,Semi_Furnished,0,0,Yes,Street,7.31,0.64,Yes,No,1034018.46
HP-00635,Sisli,Apartment,88.6,3,1,22,21,32,Natural_Gas,Semi_Furnished,2,1,Yes,Street,2.43,0.67,Yes,No,7335755.60
HP-00636,Beylikduzu,Apartment,89.3,3,1,10,14,23,Coal,Unfurnished,3,2,Yes,Street,9.97,1.11,Yes,Yes,3193579.93
HP-00637,Nilufer,Apartment,190.8,6,2,4,12,18,Central,Semi_Furnished,1,2,Yes,Street,11.22,0.51,No,No,7310975.47
HP-00638,Sisli,Apartment,141.6,5,2,18,13,15,Central,Semi_Furnished,1,,No,City,1.78,2.55,No,No,10443699.34
HP-00639,Kadikoy,Detached,159.6,5,2,20,0,5,Heat_Pump,Furnished,1,1,No,Street,2.73,0.51,No,Yes,11539116.57
HP-00640,Beylikduzu,Apartment,168.5,4,2,14,6,15,Electric,Unfurnished,1,1,Yes,City,2.60,1.99,No,No,7083680.09
HP-00641,Kadikoy,Apartment,136.6,4,1,6,7,19,Natural_Gas,Unfurnished,1,3,No,Park,1.01,1.98,Yes,Yes,12734695.92
HP-00642,Atasehir,Apartment,81.0,2,1,17,6,19,Electric,Unfurnished,1,1,No,Park,0.86,0.53,Yes,Yes,4901703.97
HP-00643,Cankaya,Apartment,68.3,2,1,5,18,28,Natural_Gas,Unfurnished,2,1,Yes,Sea,0.47,2.45,Yes,Yes,4719674.61
HP-00644,Atasehir,Apartment,75.3,2,1,11,28,34,Electric,Furnished,0,1,No,Street,2.75,0.10,Yes,Yes,3721791.27
HP-00645,Konyaalti,Apartment,161.6,4,2,11,9,18,Natural_Gas,Unfurnished,2,1,Yes,City,10.12,0.46,Yes,No,9617905.12
HP-00646,Konyaalti,Villa,262.8,6,3,53,0,13,Heat_Pump,Furnished,0,2,Yes,Sea,5.18,2.41,No,No,21172216.62
HP-00647,Cankaya,Apartment,124.5,4,2,18,20,23,Central,Semi_Furnished,0,1,No,Sea,6.59,1.10,Yes,Yes,7618039.58
HP-00648,Kadikoy,Detached,289.3,10,3,75,0,9,Natural_Gas,Unfurnished,1,3,No,Nature,11.00,1.48,Yes,Yes,12474508.63
HP-00649,Kadikoy,Apartment,118.2,3,1,11,17,19,Central,Unfurnished,1,1,No,Nature,1.11,0.49,Yes,Yes,10439413.13
HP-00650,Nilufer,Apartment,173.4,5,2,5,27,37,Central,Furnished,1,1,Yes,Park,5.37,1.28,No,Yes,8224003.98
HP-00651,Besiktas,Apartment,105.5,3,1,23,12,21,Coal,Unfurnished,0,0,Yes,Street,2.52,0.81,No,No,8073059.84
HP-00652,Atasehir,Apartment,,6,2,4,25,38,Natural_Gas,Unfurnished,2,0,No,Street,7.13,0.72,Yes,Yes,10483531.21
HP-00653,Uskudar,Apartment,185.3,5,2,8,16,20,Natural_Gas,Semi_Furnished,2,1,Yes,Sea,10.94,0.30,Yes,No,17071025.77
HP-00654,Nilufer,Villa,100.5,3,1,,0,11,Central,Semi_Furnished,2,2,Yes,Nature,9.13,,No,Yes,5712573.13
HP-00655,Beylikduzu,Apartment,146.1,4,1,71,0,3,Natural_Gas,Furnished,1,1,No,Park,4.77,1.54,No,Yes,2926292.29
HP-00656,Uskudar,Apartment,157.8,4,1,6,24,30,,Semi_Furnished,2,0,No,City,6.67,0.86,Yes,No,10682840.06
HP-00657,Sisli,Apartment,50.8,1,1,17,24,27,Natural_Gas,Unfurnished,1,2,No,Street,4.47,1.00,No,No,2714549.79
HP-00658,Sisli,Apartment,146.4,4,2,42,12,20,Central,Unfurnished,1,0,Yes,Sea,1.82,0.17,No,No,12708312.29
HP-00659,Besiktas,Residence,108.3,3,1,9,8,16,Natural_Gas,Unfurnished,1,1,No,Park,3.06,0.41,No,No,12551833.97
HP-00660,Uskudar,Apartment,179.0,6,2,14,9,18,Central,Unfurnished,1,1,Yes,Street,2.98,0.20,Yes,Yes,13378739.58
HP-00661,Kadikoy,Townhouse,128.2,4,1,18,8,17,Natural_Gas,Unfurnished,0,3,No,Street,1.30,0.45,Yes,Yes,9530369.33
HP-00662,Nilufer,Residence,97.9,2,1,3,16,27,Heat_Pump,Semi_Furnished,0,1,No,City,10.76,1.43,No,No,5028925.63
HP-00663,Cankaya,Villa,279.4,7,2,51,0,6,,Semi_Furnished,1,1,Yes,Sea,1.94,1.41,Yes,No,18570525.07
HP-00664,Kadikoy,Residence,143.4,5,2,2,8,11,Natural_Gas,Unfurnished,1,0,No,Nature,1.67,0.63,Yes,No,15146400.40
HP-00665,Karsiyaka,Apartment,35.0,1,1,5,18,23,Central,Unfurnished,0,3,No,Nature,8.60,0.61,Yes,No,1776502.15
HP-00666,Kadikoy,Apartment,35.0,1,1,10,18,29,Electric,Semi_Furnished,0,0,No,Nature,10.93,2.47,Yes,No,2300163.64
HP-00667,Kadikoy,Apartment,117.7,3,1,27,10,17,Central,Unfurnished,1,1,No,Street,8.44,0.58,Yes,No,6793249.91
HP-00668,Atasehir,Apartment,163.0,4,1,0,23,29,Natural_Gas,Unfurnished,1,2,No,Street,5.68,0.26,Yes,No,28582336.76
HP-00669,Nilufer,Apartment,99.2,3,1,17,19,29,Central,Unfurnished,2,0,Yes,Sea,4.79,0.88,Yes,No,4932132.43
HP-00670,Beylikduzu,Residence,166.1,5,2,28,19,28,Central,Unfurnished,1,1,No,Nature,0.96,2.18,Yes,No,7085926.17
HP-00671,Atasehir,Apartment,111.9,3,1,21,2,5,Heat_Pump,Unfurnished,1,0,No,Sea,2.72,1.96,Yes,Yes,8184308.61
HP-00672,Cankaya,Apartment,70.9,2,1,55,19,29,Central,Unfurnished,1,1,Yes,City,1.75,,Yes,Yes,2277379.32
HP-00673,Nilufer,Residence,54.2,2,1,7,28,39,Central,Furnished,1,3,Yes,Street,5.19,2.95,Yes,Yes,2232666.22
HP-00674,Konyaalti,Villa,79.8,2,1,31,0,10,Natural_Gas,Unfurnished,0,1,Yes,City,6.29,0.39,Yes,No,4291824.24
HP-00675,Beylikduzu,Apartment,100.8,3,1,7,24,31,Electric,Unfurnished,1,0,Yes,Street,3.43,0.71,No,No,3102115.87
HP-00676,Beylikduzu,Residence,150.4,4,1,5,24,30,Natural_Gas,Semi_Furnished,0,2,Yes,City,1.82,1.53,Yes,Yes,5921647.10
HP-00677,Sisli,Detached,196.8,7,2,4,0,11,Natural_Gas,Furnished,2,0,No,Nature,6.81,1.67,Yes,Yes,16063874.52
HP-00678,Beylikduzu,Apartment,187.2,4,2,50,10,18,Heat_Pump,Unfurnished,2,1,No,Street,6.01,0.35,Yes,No,5275346.83
HP-00679,Kadikoy,Townhouse,214.3,5,2,11,8,15,Heat_Pump,Unfurnished,0,1,Yes,Street,5.43,0.89,No,Yes,16874874.53
HP-00680,Karsiyaka,Villa,206.8,5,2,7,0,7,Natural_Gas,Unfurnished,1,1,No,City,16.70,0.76,Yes,Yes,15536230.90
HP-00681,Kadikoy,Detached,151.0,4,2,12,0,10,Heat_Pump,Unfurnished,0,3,No,Nature,5.55,0.98,No,No,11861032.78
HP-00682,Sisli,Townhouse,195.1,5,2,9,24,31,Heat_Pump,Unfurnished,1,2,Yes,City,8.55,0.30,Yes,Yes,17181295.89
HP-00683,Besiktas,Apartment,145.7,4,2,24,23,35,Natural_Gas,Furnished,2,1,No,City,1.45,1.80,Yes,No,11140290.50
HP-00684,Atasehir,Villa,218.6,7,2,11,0,13,Central,Furnished,1,,No,Park,3.95,1.82,No,Yes,17536439.45
HP-00685,Sisli,Apartment,117.8,4,2,14,10,22,Natural_Gas,Semi_Furnished,2,0,Yes,Street,3.50,0.34,No,No,9139274.91
HP-00686,Karsiyaka,Apartment,84.5,3,1,6,28,32,Natural_Gas,Semi_Furnished,1,1,No,Street,12.81,1.32,No,No,2862754.99
HP-00687,Atasehir,Detached,241.2,6,3,5,0,4,Heat_Pump,Unfurnished,1,2,Yes,Street,5.34,1.77,No,No,19050536.00
HP-00688,Atasehir,Detached,190.5,5,2,2,0,3,Heat_Pump,Unfurnished,2,2,Yes,Sea,5.52,1.72,No,Yes,19503557.42
HP-00689,Uskudar,Apartment,35.0,1,1,12,13,18,Natural_Gas,Unfurnished,2,1,Yes,Sea,2.99,0.54,No,Yes,2607208.55
HP-00690,Beylikduzu,Apartment,161.3,5,2,5,5,10,Natural_Gas,Unfurnished,0,0,Yes,Park,7.73,0.61,Yes,No,6307729.41
HP-00691,Beylikduzu,Apartment,63.4,2,1,0,24,28,Central,Furnished,2,1,No,Street,3.79,2.52,Yes,No,1978400.78
HP-00692,Kadikoy,Apartment,147.7,5,2,8,22,27,Electric,Furnished,1,1,Yes,Street,3.10,0.83,Yes,No,10589914.34
HP-00693,Beylikduzu,Apartment,145.4,4,2,47,23,29,Central,Semi_Furnished,1,0,No,City,12.17,0.40,Yes,No,3347678.94
HP-00694,Beylikduzu,Villa,125.4,4,1,0,0,9,Central,Unfurnished,3,1,Yes,Park,11.12,0.40,Yes,Yes,9261792.25
HP-00695,Konyaalti,Apartment,189.8,5,2,7,0,10,Heat_Pump,Unfurnished,0,4,No,Park,3.33,3.01,No,No,10963744.62
HP-00696,Besiktas,Apartment,120.5,4,2,24,10,22,Central,Furnished,2,2,Yes,Street,2.15,0.17,Yes,Yes,12781226.64
HP-00697,Atasehir,Apartment,179.3,4,1,12,14,22,Heat_Pump,Unfurnished,2,1,No,City,0.83,1.80,Yes,Yes,12035802.56
HP-00698,Beylikduzu,Apartment,58.6,2,1,11,12,16,Natural_Gas,Semi_Furnished,3,1,No,Sea,8.17,0.08,Yes,Yes,3174485.64
HP-00699,Besiktas,Apartment,79.7,2,1,4,9,17,Heat_Pump,Unfurnished,1,1,No,Street,,1.91,No,No,6410963.81
HP-00700,Uskudar,Townhouse,159.7,5,2,42,6,15,Coal,Semi_Furnished,1,3,Yes,Park,7.46,1.95,Yes,No,11522972.27
HP-00701,Cankaya,Apartment,166.5,4,2,6,6,13,Natural_Gas,Semi_Furnished,1,1,Yes,City,4.84,1.45,Yes,No,8479761.27
HP-00702,Kadikoy,Residence,53.0,1,1,4,11,19,Natural_Gas,Semi_Furnished,0,1,Yes,City,4.21,1.10,Yes,Yes,4275552.51
HP-00703,Nilufer,Apartment,138.8,3,1,6,18,23,Natural_Gas,Unfurnished,1,2,No,City,3.66,0.29,Yes,No,5670669.26
HP-00704,Konyaalti,Detached,985.1,12,5,3,0,2,Natural_Gas,Unfurnished,2,1,Yes,Sea,,0.31,Yes,Yes,140706415.20
HP-00705,Konyaalti,Detached,237.0,7,3,11,0,4,Natural_Gas,Furnished,0,0,No,Park,12.28,0.69,No,Yes,12853726.95
HP-00706,Uskudar,Apartment,165.9,4,2,0,17,26,Central,Unfurnished,1,1,No,Nature,1.78,0.47,No,Yes,14270817.22
HP-00707,Cankaya,Residence,202.6,5,2,5,15,17,Central,Furnished,2,2,No,Street,15.37,0.70,Yes,Yes,9331748.40
HP-00708,Besiktas,Apartment,115.8,3,1,1,14,23,Natural_Gas,Unfurnished,2,3,Yes,City,4.46,0.69,Yes,No,15793725.62
HP-00709,Atasehir,Villa,186.9,4,,12,0,9,Central,Unfurnished,0,1,Yes,Sea,3.35,2.20,Yes,No,20207655.98
HP-00710,Atasehir,Apartment,82.2,3,1,23,8,17,Natural_Gas,Unfurnished,1,2,Yes,Park,1.15,2.90,Yes,Yes,4653050.61
HP-00711,Kadikoy,Apartment,88.6,3,1,0,2,14,Heat_Pump,Unfurnished,1,1,No,Street,1.82,0.11,No,Yes,6523604.00
HP-00712,Uskudar,Detached,173.7,4,2,17,,7,Central,Unfurnished,1,1,Yes,Nature,10.06,0.44,Yes,Yes,14043681.04
HP-00713,Cankaya,Apartment,197.3,6,,2,5,8,Central,Semi_Furnished,2,0,Yes,Park,3.94,0.14,No,Yes,16952493.54
HP-00714,Besiktas,Apartment,35.0,1,1,1,8,13,Natural_Gas,Unfurnished,0,1,Yes,Street,8.58,0.66,No,No,2930574.10
HP-00715,Konyaalti,Apartment,113.8,4,1,18,0,2,Natural_Gas,Unfurnished,0,4,No,Nature,10.46,0.94,Yes,Yes,5432452.07
HP-00716,Sisli,Apartment,91.1,2,1,1,1,10,Central,Unfurnished,2,1,No,Park,8.50,2.68,No,No,6807328.16
HP-00717,Karsiyaka,Detached,100.9,3,1,9,0,11,Natural_Gas,Semi_Furnished,1,3,No,Street,10.20,2.68,Yes,No,5082793.53
HP-00718,Konyaalti,Apartment,178.2,4,1,24,22,33,Natural_Gas,Unfurnished,0,0,No,City,1.70,0.73,Yes,Yes,8930226.29
HP-00719,Sisli,Apartment,109.9,3,1,21,26,37,Natural_Gas,Semi_Furnished,3,0,Yes,Nature,7.25,0.80,Yes,No,6796864.51
HP-00720,Kadikoy,Apartment,96.7,3,1,4,16,29,Heat_Pump,Furnished,1,0,Yes,City,4.63,0.82,Yes,No,7906819.35
HP-00721,Sisli,Residence,143.5,5,2,7,24,37,Natural_Gas,Semi_Furnished,2,0,No,Street,9.98,0.34,Yes,Yes,11795856.95
HP-00722,Beylikduzu,Apartment,91.0,2,1,11,16,18,Natural_Gas,Furnished,1,1,Yes,Street,3.47,0.54,Yes,No,3353935.20
HP-00723,Karsiyaka,Apartment,148.1,4,2,4,13,22,Central,Furnished,2,2,No,Nature,8.82,0.54,Yes,No,9923639.98
HP-00724,Karsiyaka,Villa,179.4,5,2,7,0,4,Natural_Gas,Furnished,1,2,Yes,Street,4.49,0.33,Yes,No,13447537.36
HP-00725,Sisli,Apartment,124.9,4,1,,10,16,Natural_Gas,Semi_Furnished,2,1,No,Sea,6.11,1.26,Yes,Yes,8063368.64
